sample_id,horvath2013_EAA,hannum_EAA,grimage2_EAA
GSE84727_3998634001_R01C02,-0.3964850360519705,-3.463780777924505,-4.204091361722803
GSE147221_200379120065_R02C02,1.2725118895776006,0.6700217863244688,14.701267320879792
GSE84727_100973330104_R01C02,-1.284404518717892,0.7074886649294854,3.928982013546914
GSE147221_200049730149_R05C01,1.4405188841908796,0.0471009655712322,-1.9363245699930616
GSE80417_9969489026_R04C01,1.5179975677064022,21.202788607981475,5.856326362564431
GSE84727_3999215203_R03C01,-0.3763266858113709,-2.808279098399197,-0.4474687737312735
GSE152027_10005839145_R01C02,1.86842110721318,3.631309384226896,-7.24064163594246
GSE152027_10005839118_R05C02,-0.221462484414296,10.802535805098016,-4.995102500178874
GSE80417_9974366006_R06C02,-4.616996567748213,-1.8636561288336964,-3.807561906789033
GSE84727_3998567086_R05C02,3.150392287949238,-4.46809396828597,4.9643929606366015
GSE147221_200379120082_R06C01,-0.785192244644989,-1.1296361688622767,13.6193987913052
GSE84727_3998634001_R02C02,9.641650326204122,8.055570231943243,6.173151102305056
GSE80417_9980092060_R04C01,5.377342056010782,5.657496675103992,7.992137271285642
GSE84727_3998998022_R06C01,-0.5178423764856532,-1.2635691545362846,-2.10524237151158
GSE147221_200049730117_R05C02,2.1493737659409007,2.802445657063913,6.459809918327508
GSE80417_9769100109_R01C01,-6.379802313078244,-4.820653529967046,3.5365386976742315
GSE80417_9934089078_R04C02,-1.8107220670787072,0.6852594870453856,2.911628474022038
GSE80417_9971851022_R01C01,2.334776813587034,-1.11828268246839,-4.637003051121731
GSE152027_3999547156_R06C01,0.4836695702569926,5.754624757387745,-2.0413448497896383
GSE152027_10006044018_R04C01,4.292353836384052,4.643225561996815,2.507454965033361
GSE147221_200379120009_R06C01,-1.5261667050788574,-2.6128633149482283,-1.1177290857500708
GSE80417_9806233018_R06C01,-2.2301194454982465,3.330051012056132,-3.410988410402844
GSE80417_9828653080_R06C01,-1.7282728482095138,3.640357057893084,6.854106821192019
GSE80417_9980102021_R06C02,-5.103426719302647,-0.373192705397841,0.4811512299040572
GSE80417_9806233024_R04C02,2.993679999964911,-0.5031075499488935,-0.9175123533375285
GSE80417_9980102014_R05C01,1.3064557429291668,9.773261775327498,3.9596154684276144
GSE147221_200379120066_R03C02,3.348910422175912,-4.197980965639871,-2.259653791491857
GSE84727_101103430156_R06C02,1.223462483197764,1.8736302698282827,-0.3853181355506052
GSE147221_200049730104_R04C01,2.8396997482875435,2.0139553855325403,1.844619220495176
GSE147221_200379120008_R03C01,-1.6448969427750484,-4.88672544129291,4.729350304379366
GSE84727_3998634014_R03C01,3.7600127438763167,0.2047105612655499,8.424134470893222
GSE152027_10005839110_R06C02,0.5242989756684366,3.3722487538951924,0.4046723412932351
GSE84727_3998634001_R04C02,1.369696444245179,0.3509428130549423,-4.248384040779058
GSE84727_3998568011_R05C01,-1.2124901292125116,-3.3894015978393384,4.194613787255591
GSE84727_101103430018_R02C01,-2.1300582386338576,4.506678707775343,5.711091825928662
GSE80417_9829119225_R05C02,-9.029385268574307,-6.774232064767766,1.821378756246503
GSE80417_9971851152_R06C02,4.389587158644623,2.247547098782192,7.275134807105317
GSE80417_9806233007_R04C01,-4.95140338834419,2.155869143643528,-1.902690550520731
GSE152027_3999078076_R06C01,5.981565962760705,-0.5395550806705955,-0.1251033702216943
GSE84727_3999356048_R02C01,1.2417843316813304,5.093342190036466,5.557635856023495
GSE84727_101103430168_R05C02,2.957612751959637,-2.111074676468768,-5.02247535692684
GSE80417_9829119260_R02C02,-1.5523641816656737,3.4809825369712186,4.72430946858853
GSE152027_3999078032_R05C02,3.4864514663292425,0.5095275341120598,2.344878662852551
GSE80417_9992571030_R04C02,-0.2444480152186798,5.457344428710385,8.755580700946268
GSE152027_3999078077_R03C02,2.76368251355526,-2.1923661497945304,-2.3360193465619474
GSE80417_9829119225_R04C02,-9.15783461418605,-0.2252991251777558,-0.967050489346974
GSE84727_3998634048_R02C02,-0.5527041386379068,1.1751752442329462,-5.059964826930411
GSE80417_9980092131_R06C01,-7.965474994277393,7.190591954073241,9.209302178982725
GSE84727_101103430153_R02C02,-0.9761743882515505,-2.9618400636449,4.9835645230466525
GSE147221_200397540051_R02C02,-1.7979684164372358,-0.8520107423667866,-0.1722019533110881
GSE80417_9829119189_R01C01,8.925062239394023,9.535277796480088,10.894827897035867
GSE147221_200049730046_R04C02,8.783620244126922,4.40365311212738,1.2892578602129987
GSE80417_9741779024_R05C01,-0.9494092420366512,1.1686864564533153,9.456305718806703
GSE84727_3998568018_R02C01,2.3299747266301125,-1.8259772795563125,-4.399466286177358
GSE80417_9980092055_R06C01,-3.3505481056147133,0.4462409471488371,-6.561589480830136
GSE80417_9980102038_R04C02,-1.8494305915586795,0.3281404410466706,6.463437946336171
GSE147221_200397540049_R05C01,-5.080993967250691,-7.24250615201575,-3.073544099963243
GSE84727_3998568009_R03C01,-0.7318829814568701,0.3509410070096024,5.194929113925127
GSE147221_200379120082_R05C01,-4.444167686044949,-2.05553442822896,-7.215770710848361
GSE80417_9980102021_R05C01,-2.191607818741417,2.4258226048484133,-4.726782348341111
GSE84727_3998928013_R02C02,6.219612646755394,-4.830524181594356,-0.3267164377387104
GSE80417_9806233007_R02C02,7.761305453590779,-2.2647072870280525,-3.3666551765394104
GSE84727_3998928130_R02C01,2.5761590267797985,0.4971920965669341,-7.59692143030253
GSE84727_3998567012_R06C01,-1.2114684796400397,1.221301526066,4.010798855300763
GSE80417_9828653007_R05C02,1.0904053571886152,7.263921034508073,1.4687039023306028
GSE152027_3999078092_R05C01,0.1093219308621868,0.4457430944177005,-2.2118904548598195
GSE147221_200090280129_R06C01,-3.3041074011988343,0.687917336912534,5.0876465534101385
GSE80417_9980092138_R06C02,-3.256451959427359,1.095079115566172,-2.243872312087796
GSE147221_200379120112_R03C02,-3.441324672539075,-3.0930541263262867,-3.503809825751773
GSE147221_200090280129_R04C01,-4.952165713598298,-5.37581531938573,-7.492707595570749
