source,target,average_causal_effect_estimate,bootstrap_edge_frequency
age,NWD1,-0.0107790005105168,1.0
age,ZNF578,0.0102502457655651,0.9725
sex,ETS1,-0.0099381735948536,0.9925
sex,IQGAP3,-0.0084616833128063,0.98
age,ICAM5,0.0076150203288511,0.885
age,TPBG,0.0041071573675397,1.0
sex,PPP1R9A,0.0040654278983009,0.8075
sex,ADCY5,-0.0033257856475823,0.86
age,AP3B1,0.0026067565933138,1.0
age,SH2B2,0.0023580244547726,0.975
age,ST18,-0.0021210622116942,0.945
age,CACNA1G,-0.0018887894995536,0.9475
age,RUFY4,-0.0015666783240682,1.0
age,GRIK5,0.0013418229963785,0.925
age,ETS1,-0.0008811349820625,0.9875
age,PCDHB15,0.0007970387539197,0.8125
age,CRHBP,-0.0005908943197516,0.77
age,ARHGEF10L,-0.0003258978373594,0.9575
age,KIF26A,0.0002510100680581,0.795
age,GNB3,-0.0001932736852001,0.9225
age,CARD18,-0.0001882354910602,0.9425
