sample_id,chr2_DMR_182,chr17_DMR_544,chr17_DMR_735,chr19_DMR_21
GSE84727_3998998017_R06C02,-2.40789287651464,-0.0589937785202399,-3.9083857285998,1.27397852129776
GSE84727_3999215213_R06C02,-1.89545123773281,1.3679500272838,-4.03289899046962,1.46603645846608
GSE152027_10005839150_R05C01,-1.83557730067141,0.657695079091612,-3.90511757131976,1.53494199263432
GSE84727_3998634001_R01C02,-2.12601413321447,1.33780700430166,-3.93085816640835,0.693011256554868
GSE147221_200379120065_R02C02,-0.823909656012403,1.88892189152431,-3.98901429524979,-0.0577427718494987
GSE84727_100973330104_R01C02,-2.02333170334352,1.75501080370061,-3.9508752781178,0.797224250658716
GSE147221_200049730149_R05C01,-2.53230635545177,0.530351881115467,-4.00073723029362,1.28876545918395
GSE80417_9969489026_R04C01,-1.21945087558498,2.285157736984,-3.97115416695195,0.361909044367656
GSE84727_3999215203_R03C01,-1.19506941681487,2.01303015383684,-4.02954697074059,0.694250976647795
GSE152027_10005839145_R01C02,-2.02463053031774,1.49189403484967,-3.95911443862978,1.06493272399253
GSE152027_10005839118_R05C02,-1.78655446335141,0.837944751655961,-3.88499590753218,1.10647164490801
GSE80417_9974366006_R06C02,-1.74062655318791,1.61451719631824,-4.0955766118036,1.29823343068649
GSE84727_3998567086_R05C02,-1.63429352727999,1.21513928108441,-3.95897519465576,1.19235353380018
GSE147221_200379120082_R06C01,-1.46256163156905,0.858051906722695,-3.92177001796381,0.654752773913986
GSE84727_3998634001_R02C02,-1.30921649621726,0.979487692719503,-4.099758239352,0.780036989231625
GSE80417_9980092060_R04C01,-2.34878793965753,1.31289587166134,-3.92352228685039,0.851087923065479
GSE84727_3998998022_R06C01,-0.874212773234446,1.64218559427192,-3.9599341533907,0.658795452216253
GSE147221_200049730117_R05C02,-2.09101315326416,0.615009395445293,-3.99288305200975,0.817397695387783
GSE80417_9769100109_R01C01,-2.08504932453553,0.654226933584472,-3.95735152773054,0.673616900183434
GSE80417_9934089078_R04C02,-1.10303055837416,1.63136966486263,-4.00221753582366,0.864206924818667
GSE80417_9971851022_R01C01,-2.15314143839062,0.585547439902536,-3.92638029619596,1.08249304168024
GSE152027_3999547156_R06C01,-2.18723432073559,0.653162137196274,-3.87116088949415,0.913566383276353
GSE152027_10006044018_R04C01,-2.19968530090624,1.14880290182308,-3.84658135446481,0.899308899129576
GSE147221_200379120009_R06C01,-1.85508045014737,1.50603892647031,-4.12409935450839,0.718216053688527
